"ID","Hospital","Responset1","Responset2","Responset3","Trt","Experience","Gender","Size"
124,13,47,43,47,0,14.6,1,1
125,13,45,40,47,0,6.3,0,1
126,13,39,41,46,1,10.7,1,1
127,13,44,44,44,1,11.9,1,1
128,13,43,45,47,1,7.4,1,1
129,13,42,47,43,1,6.2,1,1
130,13,47,45,45,0,5.7,1,1
131,14,41,44,47,0,10.7,1,0
132,14,41,40,41,1,4.3,1,0
133,14,37,39,41,1,8.4,1,0
134,14,39,41,40,1,6.4,1,0
135,14,44,44,45,0,2.4,0,0
136,14,37,40,45,1,3.7,1,0
137,14,38,37,40,1,11.7,1,0
138,14,44,44,44,0,6.7,1,0
139,14,35,37,40,1,11,0,0
140,14,41,44,41,0,19,1,0
141,15,38,38,42,1,15.4,0,1
142,15,42,40,41,1,10.4,1,1
143,15,39,41,39,1,8.9,1,1
144,15,41,43,44,1,6.7,1,1
145,15,38,40,38,1,16.3,0,1
146,15,41,43,43,0,10,1,1
147,15,42,41,43,0,4.1,1,1
148,15,37,39,40,1,6.8,0,1
149,15,36,39,40,1,2.8,1,1
150,15,44,41,41,0,6.7,0,1
151,16,40,44,39,0,2,1,1
152,16,33,39,41,1,14.3,1,1
153,16,45,42,40,0,5.4,1,1
154,16,36,38,35,1,6,1,1
155,16,41,42,43,0,6.8,1,1
156,16,37,35,41,1,10,1,1
157,16,41,43,42,0,10.4,1,1
158,16,38,34,38,1,9.8,1,1
159,16,43,40,43,0,5.5,1,1
160,16,40,45,46,0,3.7,1,1
161,17,44,43,41,0,6.1,1,1
162,17,41,41,44,1,8.5,0,1
163,17,46,42,46,0,4.9,1,1
164,17,35,37,40,1,7.1,0,1
165,17,40,42,45,1,4.1,0,1
166,17,48,45,47,0,7.4,1,1
167,17,43,42,46,1,7.9,1,1
168,17,40,42,45,1,6.9,1,1
169,17,38,39,42,0,6.8,0,1
170,17,43,46,43,0,17.8,1,1
171,18,39,39,39,0,10.8,1,0
172,18,40,40,42,0,12.9,0,0
173,18,35,37,37,1,4.7,0,0
174,18,37,39,39,1,8,1,0
175,18,41,42,42,0,13.2,1,0
176,18,34,33,37,1,7.2,0,0
177,18,33,35,36,1,2.5,1,0
178,18,44,41,40,0,8.8,0,0
179,18,39,40,47,0,2.9,1,0
180,18,39,40,39,0,4.9,0,0
181,19,35,36,38,1,14.3,1,0
182,19,39,37,40,1,10.1,1,0
183,19,42,39,41,0,12.8,0,0
184,19,39,40,39,0,8.6,1,0
185,19,38,39,36,0,7,0,0
186,19,40,40,41,1,4.7,1,0
187,19,37,34,36,1,16.4,0,0
188,19,39,40,40,0,7.6,0,0
189,19,38,43,40,0,5.2,0,0
190,19,34,37,35,1,11.4,1,0
191,20,43,41,40,0,12.6,0,0
192,20,39,44,47,0,19.1,1,0
193,20,45,39,39,1,5.5,1,0
194,20,37,37,38,1,6.1,0,0
195,20,42,46,41,0,6,1,0
196,20,42,44,42,0,6.1,1,0
197,20,43,43,44,0,6.2,1,0
198,20,41,41,41,0,6.4,0,0
199,20,40,45,44,0,15.2,1,0
200,20,38,38,37,1,5.2,0,0
